,text,classification
0,este lixo ...,True
1,Mais um lixo,True
2,Essa nao tem vergonha na cara!!,True
3,Essa mulher é doente.pilantra!,True
4,Comunista safada...,True
5,Vagabunda. Comunista. Mentirosa. O povo chileno nao merece uma desgraça desta.,True
6,"COMUNISTA SAFADA, MALPARIDA, MAMAGUEVA, DESGRAÇADA, COÑO É TU MADRE.",True
7,Besta quadrada.,True
8,Comunista lixo!,True
9,Hipocritas,True
10,Hipocrita!!,True
11,"Quem tem pena é galinha, mas ela é uma VACA LOUCA.",True
12,Esquerdista.,True
13,Mande essa Bachelet plantar batata no asfalto. Puta que pariu até o tamborete de bordel se acha no direito de falar do Brasil.,True
14,Mulherzinha safada,True
15,Cara de pau.,True
16,Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.,True
17,Porque é uma bandida,True
18,Mentem e roubam..... Não vai mais mamar.....,True
19,Tudo igual. Só pensam no próprio rabo,True
20,Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,True
21,Cretina!,True
22,Guarde sua pena ...nos da ânsia de vômito,True
23,Quem não têm caráter é contra o presidente Bolsonaro,True
24,O problema dela é que a tetinha secou,True
25,Será que alguém em sã consciência ainda vai acreditar nesta farsante? Não acredito em um fio do seu cabelo pintado.,True
26,Bandida😡😡,True
27,Ela tem cara de homem né? Macron deve achar gata,True
28,É uma cara de pau mesmo... 😡,True
29,Nojo dessa pilantra,True
30,Olha ai a hipocrisia dessa mulher,True
31,Bando de canalhas,True
32,"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",True
33,Vieja idiota.,True
34,Outra bandida ...,True
35,Cretina!!!,True
36,BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,True
37,Ridícula nojenta,True
38,"hipocrisia, mal do seculo: falta de caráter geral. Ser humano não deu certo.",True
39,"Isso é uma realidade da imbecilidade humana, não tem moral prá nada...",True
40,Noventa comunista,True
41,Noventa comunista,True
42,E eu tenho pena de vc sua ridícula.,True
43,"Eu tenho pena do Brasil, pois com o PT no poder todos os corruPTos do mundo tiraram vantagem das nossas riquezas. Inclusive essa hipócrita amiga da Dilma.🤔",True
44,Óleo de peroba pra lustrar a cara de pau!,True
45,"Mentir e roubar. Tudo que os comunistas sabem fazer. Trabalhar e produzir alguma coisa, jamais.",True
46,"Velha barriguda d bem folgada, heim?🧐🤔😤",True
47,"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",True
48,Aí a ganância falou mais alto... corrupta!,True
49,Descarada!,True
50,@onubrasil corruptos.,True
51,Nojo 🙈🙉🙊sempre assim,True
52,Devolve o dinheiro roubado via OAS...,True
53,Débil. ..,True
54,Hipocrita!,True
55,Mais uma esquerdista ridícula💩💩,True
56,Isso não passa de uma mera oportunista! #michelebachelet #oas não passa de uma múmia esquerdista ainda em atividade minha querida @carla.zambelli . Obrigado pelas informações de sempre 🇧🇷💙,True
57,Rapariga de cego ! Quem essa vagabunda pensa que é pra dar pitaco aqui dentro ! Vagabunda,True
58,Hipócrita!!!! 🤮,True
59,Bachelet vc como todo bom esquerdista é uma hipócrita. Tenha pena de vc e do seu povo.,True
60,Q mulher ordinária,True
61,"Realmente, uma verdadeira hipócrita!",True
62,Simples... São canalhas que amam o dinheiro do povo. 👊🏾 🇧🇷 Acabou pra eles aí ficam nesta choradeira de 🚮. Esgoto... Lama podre. Isso eh o comunismo. Povo na merda é eles de boa. Canalhas! 👊🏾,True
63,Pq é uma vaca.,True
64,Vagabunda,True
65,Porca asquerosa🤮🤮🤮,True
66,Realmente a hipocrisia está estampada na cara de pau 👎👎👎👎,True
67,Ridícula vai cuidar da sua vida,True
68,Deve ter pena dela quando descobrir os podre dela essa imoral,True
69,Velha cretina,True
70,"Da esquerda não se aproveita nada, seja ela de qualquer país!",True
71,Hipócrita🤬,True
72,Horrorosa vaca suja,True
73,"Pena eu não tenho de vc corrupta, qdo for presa 👊",True
74,CANALHA 🤮,True
75,FDP,True
76,Hipocrisia esquerdopata oportunista,True
77,E nós sentimos ranço dela! Ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro.,True
78,🇧🇷💪💪💪Bandidagem safados Globolixo globonewslixo mídia lixo nojenta apátridas,True
79,#Vagabunda,True
80,Falsa!!!! Que nem nota de $30!!!!🤪🤪🤪,True
81,Esquerdista ordinária e safada,True
82,Cretina,True
83,"Enquanto a Bachelet comia toco do PT, estava caladinha.",True
84,Safada sem vergonha ! Velha asquerosa !🤮,True
85,Cara de@pau😡😡😡😡,True
86,Quem é essa ? Vai te catar...,True
87,Safada😡,True
88,Safada🤢🤢🤢,True
89,Lixo ideológico,True
90,Hipócrita!,True
91,"Esses camaradas são tinhosos dimais, quando o venha a nós acaba, começam a criticar, falar mal do vosso reino! Pessoas que agem assim são imbecis para não dizer vampiros!",True
92,Pois é deveria ter pena da própria ignorância.,True
93,"Vagabunda,Ordinária",True
94,"Maldita, quadrilha do PT é grande viu💩💩💩",True
95,Vou mandar um óleo de peroba pra ela de presente! 😂😂😂😂,True
96,Mulherzinha cara de pau🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,True
97,Porque é corrupta é conivente com o desgoverno anterior,True
98,SAFADA,True
99,A cada dia fico mais admirado com a cara de pau da elite dominante desse mundo até quando irão nos fazer de otários,True
100,"Vá ter pena da puta que a pariu, corrupta",True
101,Que nojo!🤮🤮🤮🤮🤮,True
102,Piada esse tipo de gente !,True
103,"Comunista ladrona, padrão PT pissol PCdoB LULAPRESIDIARIO DILMATERRORISTA",True
104,"Porque Bachelet faz parte da esquerda Hipócrita da América latina. Pergunte se ela tem pena de Cuba, Nicarágua ou da Venezuela. #MicheleBacheletHipócrita",True
105,"Vai te catar ,cuida do teu país,o Brasil tem quem cuide🙏🇧🇷",True
106,Canalha vagabunda amiga de ditaduras,True
107,Essa gentalha tirando uma de vítima. Vão derrubar Já já. Coitados. Deus é Deus!,True
108,Sua TONTA SAFADA,True
109,Mentirosa enganadora 👎👎👎,True
110,Cachorra safada o Brasil tá sob nova direção,True
111,A mim ela eh similar aquelas moças que ficam na rodovia que trocam serviços por $. Sem tirar nem por...,True
112,🤣 Comunista...,True
113,#foracomunismosocialismo🤬😠😡👊👊👊,True
114,Aff ranso desses corruptos,True
115,Bandida como todos esquerdopatas,True
116,Senhora Michele Bachelet!,True
117,"Velha cretina, vai cuidar do seu país..ah não te querem lá. Então vai pro inferno coisa ruim.",True
118,Toma distraída!!!,True
119,Velha idiota comunista e corrupta .,True
120,Demagoga se locupletando com dinheiro de propina,True
121,Porque é bandida igualmente a o presidiário cachaceiro do Lula,True
122,LADRA,True
123,Eu tenho pena é de você não ter sido da época do grande General Pinochet que lamentavelmente deixou sobrar este resquício de desgraça.,True
124,Fdp,True
125,Cai fora o Brasil não precisa de você,True
126,tá se revelando! corrupta ...nesse governo a gente tá realmente vendo quem é honesto e quem no presta!,True
127,Falou...Bacheria. . ...Brcelet.... ou seja lá como queira ser chamada sua raposa velhaca.,True
128,Bandidona e pilantrona o leitinho acabou,True
129,Hipooooooócrita essa senhoura...,True
130,Exato! Ela é um escrota!,True
131,Hipócrita,True
132,Outra pilantra!,True
133,Pilantra,True
134,Hipócrita!,True
135,Farinha do mesmo saco nojo desses políticos,True
136,Essa senhora é uma currupta igual seus amiguinhos do PT.,True
137,"Cada coisa que aparece!!! Internacionarizaram a propina e a corrupção!!! Agora tem pena do Brasil, tem que ter pena dela mesmo, afinal ficou sem os recursos ilícitos!!!",True
138,Devolva o dinheiro,True
139,Pq. ELa é SAFADA igual ao 9 dedos. 😲😲,True
140,Terrorista FDP,True
141,Hipócrita 💩💩💩💩,True
142,Sem noção sobre o Brasil e uma corrupta 👎👎👿👿👿,True
143,Pena dessa senhorinha...,True
144,LADRA,True
145,"Houve um tempo atrás que o Brasil recebeu milhares de chilenos, que veio arrumar emprego aqui no Brasil e os brasileiros os receberam de braços abertos, mas, o mundo e o povo é assim esquece rápido o bem que o outro fez! Mas, essa comunista está se achando, mas, é uma tremenda corrupta.",True
146,"VOCÊ TINHA DE TER PENA É QUANDO VÁRIOS BRASILEIROS MORRERAM NOS CORREDORES DOS HOSPITAIS PÚBLICOS POR CAUSA DAS ROUBALHEIRAS DOS CURRUPTOS, MAS VOCÊ VELHA CANALHA TAMBÉM FAZIA PARTE DO ESQUEMA SEGUNDO Á OAS 🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀.",True
147,"Pois é, nojenta!!",True
148,Quem quer saber oq vc pensa comunista corrupta vc deveria estar na cadeia !,True
149,"Enfia a sua pena no seu rabo, velha nojenta",True
150,A única coisa que no momento a esquerda faz é rosnar!!,True
151,OQUE BACHELE FALA NÃO TEM VALOR!!! KKKK A PESSOA QUE SE ENVOLVE COM MARACUTAIA PARA ROUBAR UM POVO PERDE SEU VALOR E PRONTO ACABOU!!!,True
152,"Ela que cuidado quintal da própria casa, já que está sujos com dinheiro de propina!!",True
153,"A resposta para um senhora desse , já que o dinheiro não vai ser devolvido. É um grande VA SE LASCAR, esquece o BRASIL e vá cuidar dos seus problemas",True
154,JA DIZIA O SANTO JOÃO BATISTA:HIPOCRITAS!!!!! RAÇA DE VIBORAS!!!ENDIREITAI OS CAMINHOS.O Messias vem,True
155,Nossa mostre sua compaixão devolvendo o dinheiro que recebeu do MOLUSCO,True
156,Pilantra,True
157,Essa safada... Dinheiro ela gosta né? Não tem pena de roubar do Brasil!,True
158,😅😅😅😅😅😅😅😅😅😅😅😅 bandida,True
159,"Ah tá com pena?!Diz para ela vim doar alimento e roupas para os asilos,orfanatos e desabrigados ,hospitais que por conta das propinas que receberam esses lugares estão com deficiência de tudo,isso PR não mandar ele para Vênus!!",True
160,"Sim, ela tem penas.......com certeza",True
161,OH BACHELET RECEBEU PROPINA DA OAS ENTÃO NÓS BRASILEIROS PATRIOTAS ESTAMOS ENTENDENDO A SUA TRISTESA ACABOU A SUA MAMATA CANALHAS,True
162,Lixo,True
163,"PORQUE É PORCA DO MESMO LODO,",True
164,Canalha,True
165,Essa Brochelet tem cara de corrupta da quadrilha lulaladrão.,True
166,Secou a fonte pilantra. Devia estar na cadeia. Esquerdista cara de pau,True
167,ACABOU A MAMATAAA!!!✨🇧🇷✨,True
168,Velha ridícula e bandida!! Parece uma porca,True
169,CLARO QUE TEM PENA PORQUE ELA JUNTO COM O LULADRÃO SUGARAM O POVO DEVERIA TER VERGONHA NA CARA E DEVOLVER O DINHEIRO QUE LEVOU,True
170,"Esquerdopatas mentem para ver se vira verdade, isso é o lema deles.",True
171,SÓ SENTE PENA SE FOR REMUNERADA PRA ISSO...NÃO PRECISAMOS QUE ESSA GENTE SINTAM PENA DO NOSSO PAÍS...E SIM QUE SE AFASTEM DELE E DO NOSSO DINHEIRO...,True
172,Sim porque??? É muita hipocrisia. E a propina...,True
173,Ta com pena? Devolve a propina,True
174,Comunista hipócrita nojento lixos,True
175,POIS É DEVERIA DEVOLVER O DINHEIRO AOS COFRES PÚBLICOS DO Brasil.,True
176,Outra canalha.,True
177,Porque ela não era “paga” pra sentir pena e sim para contribuir e usufruir dos roubos.,True
178,essa imbecil falando e o cachorro cagando e a mesma coisa,True
179,Pois ela é uma sem vergonha😩,True
180,Esse povo de esquerda é asqueroso e corruptos,True
181,Que cara CÍNICA,True
