,text,classification
0,"Meu nivel de amizade com isis é ela ter meu insta e eu ter o dela, e quando eu penso que não ela manda mensagem “ falano otario ta falando dnv no insta”",True
1,"rt @user @user o cara adultera dados, que foram desmascarados e ainda quer ficar no governo?",True
2,"@user @user @user o cara só é simplesmente o maior vencedor da história de futebol, tá com 36 anos e tem gás demais e não um gordo com joelho fodido",True
3,eu to chorando vei vsf e eu nem staneio izone nem nada https://t.co/rglb8luutw,True
4,"Eleitor do Bolsonaro é tão ignorante q não percebeu q a frase abaixo significa o seguinte:

“É melhor falar um monte de bosta do que ficar calado”.

Ainda transformaram em imagem bonitinha com citação e data hahhahahahhahahhahah. https://t.co/cBpSJT1Gdf",True
5,rt @user vai responder as outras 75 conversas e para de cobrar atenção caralho https://t.co/g6qy9om78x,True
6,"tem um do jack com a msm música e agr não sei qual flodar 
grande dia 👍",False
7,mais é ruim pra pedir desafio  esse técnico do  azerbaijão,True
8,"@user eu fico vendo isso e penso ""desvantagens do k-pop esta sendo cada vez mais difundido"" o millenium americano ta tão acostumado com gente que não dança e perfomances sem coreografia que quando veem dança de verdade e sincronia fica bugado",True
9,"frio do caralho, parece até q to dentro do teu coração",True
10,"@user o mentiroso
https://t.co/5fantv4zdx",True
11,"@user onde mexe fede!
#forastf 
#stfvergonhanacional 
#forasuspeitotribunalfederal
#nasruascontrastf",True
12,"meu filho vem primeiro, ele é minha prioridade!",False
13,hoje deu vontade de abraçar minha mãe e chorar o dia inteiro 😔 tpm seja bem vinda.,False
14,"Minha conta iria fazer 10 anos, em abril perdeu todos os seguidores, recomeçando, foi suspensa dia 25 de julho.

Enquanto do outro lado, o da criminalidade, pode todos os absurdos, o Povo honesto e trabalhador não pode nada. Não seremos adestrados. Nunca!

#DireitaCensurada https://t.co/qVWf3HxWd8",False
15,"@user não se ele tiver encomendado o ""serviço""",False
16,@user @user @user sou a favor de invadir o stf e não chegarmos lá d mãos vazias....😝😝😝,True
17,"@user @user Folha de São Paulo pra mim não serve nem pra pendurar no banheiro de posto de gasolina,  pegar na mão então nem se fala. Acho que ler fotonovela, se é que ainda existe é mais proveitoso",True
18,"@user @user Vc deve ser louca, defendi o INPE na nossa conversa, ou vc é cega, disléxica, achei péssimo a exoneração feita hoje, tenho ciência do bom trabalho q o INPE faz, enfim, não vou perder meu tempo com vc, abraça o DataFolha aí, espere a virada do Haddad ou Ciro no segundo turno kkkkk",True
19,"@user nao deixa sua cabeça te fazer de maluca, seu corpo é lindo, assim como todos são dos seus jeitinhos, vai a praia sim eu hein vou dar na sua cara",True
20,@user os hormonios pulando...,True
21,"hoje é caso dormir cedo
tipo um preso",True
22,e nessa loucuraaaaaa de dizer que não te querooooooooo,False
23,"@user @user Eu como morador da terra do meio no Pará e conselheiro de 2 UCs, posso falar com segurança que os dados do Inpe, realmente estavam sendo manipulados por ativista travestidos de cientistas pra prejudicar a imagem do governo Bolsonaro! Ontem o ministro Salles provou isso!",True
24,bixetes vem logo por favor,True
25,"Por outro lado, entre os gestores há um consenso que joga contra o investimento de mais longo prazo. 
Quando provocados, eles são categóricos: se há uma posição que eles não carregariam por 10 anos de olhos fechados é Itaú, ou qualquer outro banco grande.",True
26,rt @user hora de colocar os fatos na mesa https://t.co/8174j0wtry,False
27,o gambenja. como os gambás contrataram o ruimgil sem ter dinheiro pra pagar as marmita s#fsradiobrasil,True
28,1h30 para sair de casa e estou deitada no sofá como se nada fosse,False
29,"mano, eu to super de boa, ai penso em certas coisas e já fecho a cara e ninguém entende nd",False
30,"rt @user eu tenho de parar de estar de costas na praia, porque eu fico sempre morena nas costas e à frente pareço um pacote de l…",False
31,respeitem só faxavor!,False
32,"@user @user Contra fatos não há argumentos, Jair.

É assim que você está ficando conhecido na Europa. 

 https://t.co/4jyJCgbe6k",False
33,@user @user ahhhhhhhh obg kskskskskskks eu disse q sou horrível com cantadas,False
34,"viva a vida enquanto vc esta vivo, pq dps que vc morrer, n vivera mais",False
35,"@user @user @user Vc só pensa no Coaf. Acorda alice! Acha mesmo que a PF está engessada somente numa linha de investigação? Achei que como jornalista, era mais esperta.",True
36,homens feios porem bonitos??¿,False
37,"@user @user Não fale pelo povo nordestino. Sou maranhense, moro no Maranhão e não me importei nem um pouco. Sai da bolha, otário. Eu queria mesmo era dar um abraço e agradecer ao meu Presidente pelo que tem feito. Ah! E detesto maconha!",True
38,passando calor aqui na loja,False
39,"rt @user @user putz, e sex tape não dá pra gravar todo dia...",True
40,"@user Vc só esqueceu de mencionar, que a turma do bem, agrediu o ministro na presença de suas crianças.  Cabe BO,  segundo o estatuto do ECA.  É covardia, que chama?",True
41,@user tao linda parece eu,False
42,@user @user @user @user e o queiroz ninguém acha??!!🤔🤔,False
43,eu amo um homem,False
44,rt @user fazendo meu papel de bom amigo marcando keylla em 300 memes ❤️,False
